,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,111/08/01,"9,841,470","1,157,739,155",118.10,118.10,117.20,117.65,-0.35,"8,720"
1,111/08/02,"18,600,451","2,149,115,164",116.55,116.55,115.10,115.55,-2.10,"22,146"
2,111/08/03,"8,100,057","939,263,431",115.65,116.25,115.50,116.25,+0.70,"7,600"
3,111/08/04,"7,108,342","826,140,065",116.35,116.80,115.20,116.55,+0.30,"7,988"
4,111/08/05,"9,625,538","1,143,739,838",118.00,119.50,117.90,119.50,+2.95,"10,809"
5,111/08/08,"8,966,011","1,066,313,383",119.00,119.25,118.30,119.25,-0.25,"10,279"
6,111/08/09,"8,186,879","971,998,418",118.40,119.50,118.00,119.15,-0.10,"9,920"
7,111/08/10,"7,796,649","919,415,561",118.00,118.20,117.50,117.90,-1.25,"13,624"
8,111/08/11,"10,957,384","1,314,562,900",119.80,120.45,119.60,120.05,+2.15,"8,947"
9,111/08/12,"8,598,361","1,038,027,809",120.55,121.00,120.30,120.80,+0.75,"7,656"
10,111/08/15,"9,837,499","1,198,033,224",121.45,122.10,121.25,121.90,+1.10,"10,575"
11,111/08/16,"10,114,278","1,235,256,112",122.00,122.30,121.90,122.10,+0.20,"10,769"
12,111/08/17,"14,115,407","1,723,131,119",122.10,122.30,121.80,122.15,+0.05,"14,681"
13,111/08/18,"5,637,817","683,651,223",121.40,121.45,120.95,121.35,-0.80,"9,013"
14,111/08/19,"4,315,583","523,948,759",121.25,122.00,120.90,121.55,+0.20,"7,401"
15,111/08/22,"8,972,758","1,076,431,037",120.00,120.25,119.70,119.80,-1.75,"19,855"
16,111/08/23,"11,095,739","1,314,798,887",118.55,119.00,118.20,118.20,-1.60,"18,728"
17,111/08/24,"7,558,746","892,619,974",118.80,118.95,117.65,117.90,-0.30,"12,385"
18,111/08/25,"5,143,118","611,992,350",118.50,119.45,118.45,119.00,+1.10,"6,976"
19,111/08/26,"10,173,674","1,219,207,855",119.85,120.10,119.45,119.60,+0.60,"7,601"
20,111/08/29,"17,248,914","2,007,953,600",116.25,116.95,116.00,116.55,-3.05,"31,024"
21,111/08/30,"12,722,112","1,482,741,825",116.55,117.20,116.20,116.75,+0.20,"14,210"
22,111/08/31,"7,324,798","854,472,563",115.95,117.60,115.80,117.60,+0.85,"8,421"
23,111/09/01,"23,181,870","2,670,144,230",115.50,115.60,114.75,115.15,-2.45,"41,161"
24,111/09/02,"15,351,769","1,755,500,653",115.10,115.10,113.85,113.90,-1.25,"29,767"
25,111/09/05,"9,508,218","1,084,987,846",114.10,114.75,113.70,114.15,+0.25,"14,479"
26,111/09/06,"6,757,649","775,277,096",114.80,115.40,114.25,114.90,+0.75,"8,756"
27,111/09/07,"17,431,510","1,960,146,749",113.10,113.15,112.10,112.20,-2.70,"37,500"
28,111/09/08,"7,535,495","849,210,347",113.05,113.05,112.40,113.00,+0.80,"9,354"
29,111/09/12,"7,850,900","905,418,862",115.30,115.65,115.00,115.40,+2.40,"10,707"
30,111/09/13,"4,768,515","553,524,212",116.10,116.40,115.75,116.00,+0.60,"6,854"
31,111/09/14,"11,875,719","1,347,366,608",113.05,113.95,112.80,113.65,-2.35,"19,904"
32,111/09/15,"4,051,460","460,557,461",113.50,114.25,113.20,113.85,+0.20,"9,633"
33,111/09/16,"13,858,212","1,558,832,568",112.65,112.85,112.30,112.55,-1.30,"22,320"
34,111/09/19,"7,705,465","864,575,077",112.95,112.95,111.90,112.05,-0.50,"15,283"
35,111/09/20,"5,999,746","675,492,164",112.55,113.15,112.25,113.05,+1.00,"7,093"
36,111/09/21,"11,672,155","1,309,037,173",112.80,112.80,111.80,112.10,-0.95,"17,348"
37,111/09/22,"16,093,771","1,772,402,603",110.40,110.75,109.50,110.75,-1.35,"25,277"
38,111/09/23,"15,826,978","1,738,392,677",110.25,110.35,109.35,109.70,-1.05,"27,136"
39,111/09/26,"21,804,952","2,343,738,865",108.05,108.05,107.15,107.65,-2.05,"40,858"
40,111/09/27,"9,580,153","1,029,687,583",107.80,107.95,107.00,107.50,-0.15,"14,707"
41,111/09/28,"20,345,587","2,153,739,170",107.60,107.65,105.25,105.25,-2.25,"32,676"
42,111/09/29,"11,208,229","1,180,322,655",106.45,106.45,104.60,104.90,-0.35,"18,926"
43,111/09/30,"12,470,000","1,289,948,500",103.30,103.90,103.00,103.45,-1.45,"6,189"
